Region,SY2012,SY2015,,SY2012,,,,,,SY2015,,,,,,,SY2012,,SY2015,,,Total,
,,,,grade 1,grade 2,grade 3,grade 4,grade 5,grade 6,grade 1,grade 2,grade 3,grade 4,grade 5,grade 6,,Male,Female,Male,Female,,SY2012,SY2015
I (Ilocos Region)," 629,230 "," 612,984 ",," 117,784 "," 110,018 "," 105,306 "," 101,444 "," 98,086 "," 96,592 "," 94,248 "," 101,684 "," 104,432 "," 108,332 "," 104,292 "," 99,996 ",," 330,234 "," 298,996 "," 322,592 "," 290,392 ",," 28,728 "," 27,648 "
II (Cagayan Valley)," 434,574 "," 435,115 ",," 86,899 "," 76,830 "," 70,997 "," 68,794 "," 67,119 "," 63,935 "," 72,649 "," 73,861 "," 73,068 "," 78,200 "," 71,184 "," 66,153 ",," 226,833 "," 207,741 "," 227,392 "," 207,723 ",," 26,304 "," 24,924 "
III (Central Luzon)," 1,315,107 "," 1,259,020 ",," 255,580 "," 229,087 "," 217,554 "," 210,427 "," 203,886 "," 198,573 "," 198,887 "," 214,172 "," 214,442 "," 221,690 "," 210,296 "," 199,533 ",," 685,337 "," 629,770 "," 657,231 "," 601,789 ",," 35,796 "," 33,336 "
IV-A (CALABARZON)," 1,605,041 "," 1,568,707 ",," 327,515 "," 284,048 "," 260,911 "," 252,089 "," 246,582 "," 233,896 "," 254,781 "," 262,495 "," 264,072 "," 285,462 "," 261,391 "," 240,506 ",," 836,389 "," 768,652 "," 818,274 "," 750,433 ",," 32,724 "," 31,452 "
IV-B (MIMAROPA)," 472,905 "," 442,229 ",," 95,511 "," 88,172 "," 78,116 "," 74,491 "," 70,936 "," 65,679 "," 70,434 "," 72,939 "," 72,780 "," 81,891 "," 76,089 "," 68,096 ",," 248,030 "," 224,875 "," 232,212 "," 210,017 ",," 22,020 "," 20,232 "
V (Bicol Region)," 988,787 "," 918,017 ",," 203,216 "," 182,210 "," 163,782 "," 153,847 "," 147,677 "," 138,055 "," 136,107 "," 143,192 "," 150,953 "," 178,678 "," 161,776 "," 147,311 ",," 521,294 "," 467,493 "," 484,528 "," 433,489 ",," 37,704 "," 35,892 "
VI (Western Visayas)," 1,037,886 "," 1,025,647 ",," 220,474 "," 190,940 "," 167,566 "," 162,379 "," 152,385 "," 144,142 "," 156,033 "," 165,028 "," 173,946 "," 201,536 "," 174,620 "," 154,484 ",," 546,490 "," 491,396 "," 541,978 "," 483,669 ",," 40,788 "," 39,204 "
VII (Central Visayas)," 1,030,357 "," 1,009,273 ",," 220,197 "," 185,010 "," 169,104 "," 159,992 "," 152,249 "," 143,805 "," 161,090 "," 162,376 "," 166,436 "," 195,795 "," 169,431 "," 154,145 ",," 541,420 "," 488,937 "," 531,120 "," 478,153 ",," 35,196 "," 33,768 "
VIII (Eastern Visayas)," 707,367 "," 656,566 ",," 138,492 "," 128,758 "," 119,487 "," 112,837 "," 106,985 "," 100,808 "," 96,480 "," 106,944 "," 109,278 "," 120,167 "," 116,183 "," 107,514 ",," 370,882 "," 336,485 "," 345,465 "," 311,101 ",," 43,728 "," 41,484 "
